Title,id,Samling,Nr,Titel,Dato,Date,doc_id,Name,Year,Parti,Period,.groups
Ulla Tørnæs,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:10:00Z,3038,Ulla Tørnæs,2020,Venstre,2019-,52
Anders Kronborg,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:11:00Z,3040,Anders Kronborg,2020,Socialdemokratiet,2019-,52
Ulla Tørnæs,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:12:00Z,3042,Ulla Tørnæs,2020,Venstre,2019-,52
Anders Kronborg,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:13:00Z,3044,Anders Kronborg,2020,Socialdemokratiet,2019-,52
Trine Torp,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:13:00Z,3045,Trine Torp,2020,Socialistisk Folkeparti,2019-,52
Thomas Danielsen,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:13:00Z,3046,Thomas Danielsen,2020,Venstre,2019-,52
Anders Kronborg,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:15:00Z,3049,Anders Kronborg,2020,Socialdemokratiet,2019-,52
Mette Frederiksen,20201_M3_referat,20201,3,"Referat af møde 3 den 8. oktober, 2020 kl. 9.00",08-10-2020,2020-10-08T22:35:00Z,305,Mette Frederiksen,2020,Socialdemokratiet,2019-,52
Trine Torp,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:16:00Z,3050,Trine Torp,2020,Socialistisk Folkeparti,2019-,52
Thomas Danielsen,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:16:00Z,3051,Thomas Danielsen,2020,Venstre,2019-,52
